Country,Unit,M unit,month ,bilateral trade,C export,C import
C-Philippines,1,-48,2008.4,2752525,1941290,811235
C-Philippines,1,-47,2008.5,2605659,731716,1872943
C-Philippines,1,-46,2008.6,2722321,836134,1886187
C-Philippines,1,-45,2008.7,2679900,958787,1721113
C-Philippines,1,-44,2008.8,2499937,817615,1682322
C-Philippines,1,-43,2008.9,2390576,824535,1566041
C-Philippines,1,-42,2008.1,1996877,735996,1260881
C-Philippines,1,-41,2008.11,1662825,690551,972274
C-Philippines,1,-40,2008.12,1627547,750632,876916
C-Philippines,1,-39,2009.1,1165096,617728,547368
C-Philippines,1,-38,2009.2,1180370,436021,744349
C-Philippines,1,-37,2009.3,1591585,659079,932506
C-Philippines,1,-36,2009.4,1580438,673981,906456
C-Philippines,1,-35,2009.5,1482121,616368,865752
C-Philippines,1,-34,2009.6,1621143,641043,980100
C-Philippines,1,-33,2009.7,1783628,731389,1052238
C-Philippines,1,-32,2009.8,1755210,734094,1021117
C-Philippines,1,-31,2009.9,2260127,895067,1365060
C-Philippines,1,-30,2009.1,1731370,713445,1017925
C-Philippines,1,-29,2009.11,2008179,815280,1192899
C-Philippines,1,-28,2009.12,2366818,1057028,1309790
C-Philippines,1,-27,2010.1,1945918,896520,1049397
C-Philippines,1,-26,2010.2,1696950,735412,961538
C-Philippines,1,-25,2010.3,2317211,884912,1423299
C-Philippines,1,-24,2010.4,2288226,976247,1311979
C-Philippines,1,-23,2010.5,2361847,997627,1364220
C-Philippines,1,-22,2010.6,2514682,1137560,1377122
C-Philippines,1,-21,2010.7,2364007,914516,1449491
C-Philippines,1,-20,2010.8,2470748,1022810,1447938
C-Philippines,1,-19,2010.9,2476669,951021,1525648
C-Philippines,1,-18,2010.1,2246551,916311,1330230
C-Philippines,1,-17,2010.11,2565559,1098133,1467426
C-Philippines,1,-16,2010.12,2516027,1033814,1482213
C-Philippines,1,-15,2011.1,2508215,1137466,1370479
C-Philippines,1,-14,2011.2,1600020,667489,932531
C-Philippines,1,-13,2011.3,2518494,1124673,1393821
C-Philippines,1,-12,2011.4,2660096,1207502,1452594
C-Philippines,1,-11,2011.5,2671705,1229217,1442488
C-Philippines,1,-10,2011.6,2647008,1063671,1583337
C-Philippines,1,-9,2011.7,2741965,1211550,1530415
C-Philippines,1,-8,2011.8,3068248,1315928,1752357
C-Philippines,1,-7,2011.9,2899842,1234927,1664915
C-Philippines,1,-6,2011.1,2774434,1246175,1528259
C-Philippines,1,-5,2011.11,3085882,1431954,1653868
C-Philippines,1,-4,2011.12,3078785,1388774,1690011
C-Philippines,1,-3,2012.1,2494959,1183126,1311833
C-Philippines,1,-2,2012.2,2475623,952538,1523085
C-Philippines,1,-1,2012.3,3271741,1515158,1702583
C-Philippines,1,0,2012.4,2748021,1391894,1356128
C-Philippines,1,1,2012.5,3192678,1573451,1619227
C-Philippines,1,2,2012.6,3213712,1363955,1849757
C-Philippines,1,3,2012.7,3138328,1438743,1699585
C-Philippines,1,4,2012.8,3040232,1384913,1655319
C-Philippines,1,5,2012.9,3440162,1422657,2017505
C-Philippines,1,6,2012.1,3078874,1490842,1588032
C-Philippines,1,7,2012.11,3303441,1577882,1725559
C-Philippines,1,8,2012.12,3106063,1476870,1629193
C-Philippines,1,9,2013.1,2785531,1543009,1242521
C-Philippines,1,10,2013.2,2121027,1027138,1093889
C-Philippines,1,11,2013.3,2121037,1027138,1093889
C-Philippines,1,12,2013.4,3333250,1850172,1483079
C-Philippines,1,13,2013.5,3382130,1761573,1620557
C-Philippines,1,14,2013.6,3119606,1632033,1487574
C-Philippines,1,15,2013.7,3264049,1676656,1587393
C-Philippines,1,16,2013.8,3239574,1668559,1571014
C-Philippines,1,17,2013.9,3435890,1674418,1761471
C-Philippines,1,18,2013.1,3175641,1697195,1478447
C-Philippines,1,19,2013.11,3604710,1976759,1627951
C-Philippines,1,20,2013.12,3552350,1882902,1669448
C-Philippines,1,21,2014.1,3633029,2149562,1513567
C-Philippines,1,22,2014.2,2265381,996445,1269937
C-Philippines,1,23,2014.3,3275847,1804563,1471311
C-Philippines,1,24,2014.4,3394537,1901531,1493006
C-Philippines,1,25,2014.5,3612999,1863972,1749126
C-Philippines,1,26,2014.6,3613024,1841249,1772999
C-Philippines,1,27,2014.7,4199198,2115295,2083903
